product_id,groupid,line,eva_chamber,mask_set,port,cycleid,glass_id,ppa_x,ppa_y,offset_x,offset_y,offset_tht,x_label,y_label,pos_x,pos_y
G2647FB101FQ-007E,0,2,OC_4,A002,A,3,L2E9418A2201,-2.4661,1.5016,-1.5,-4.0,10.0,5,6,-298.56,-420.581
G2647FB101FQ-007E,0,2,OC_4,A002,A,3,L2E9418A2201,-1.7048999999999999,3.5721,-1.5,-4.0,10.0,6,1,-223.914,408.852
G2647FB101FQ-007E,0,2,OC_4,A002,A,3,L2E9418A2201,2.1532999999999998,0.4477,-1.5,-4.0,10.0,6,2,-223.914,242.946
G2647FB101FQ-007E,0,2,OC_4,A002,A,3,L2E9418A2201,5.6882,1.1143,-1.5,-4.0,10.0,6,3,-223.914,77.036
G2647FB101FQ-007E,0,2,OC_4,A002,A,3,L2E9418A2201,5.2974,3.6466,-1.5,-4.0,10.0,6,4,-223.914,-88.777
G2647FB101FQ-007E,0,2,OC_4,A002,A,3,L2E9418A2201,2.7551,3.5108,-1.5,-4.0,10.0,6,5,-223.914,-254.658
G2647FB101FQ-007E,0,2,OC_4,A002,A,3,L2E9418A2201,0.36329999999999996,3.2285,-1.5,-4.0,10.0,6,6,-223.914,-420.581
G2647FB101FQ-007E,0,2,OC_4,A002,A,3,L2E9418A2201,-0.7469999999999999,2.4655,-1.5,-4.0,10.0,7,1,-149.268,408.852
G2647FB101FQ-007E,0,2,OC_4,A002,A,3,L2E9418A2201,3.3002000000000002,0.1571,-1.5,-4.0,10.0,7,2,-149.268,242.946
G2647FB101FQ-007E,0,2,OC_4,A002,A,3,L2E9418A2201,7.9599,1.2894,-1.5,-4.0,10.0,7,3,-149.268,77.036
G2647FB101FQ-007E,0,2,OC_4,A002,A,3,L2E9418A2201,6.8013,3.7418,-1.5,-4.0,10.0,7,4,-149.268,-88.777
G2647FB101FQ-007E,0,2,OC_4,A002,A,3,L2E9418A2201,4.1333,3.6709,-1.5,-4.0,10.0,7,5,-149.268,-254.658
G2647FB101FQ-007E,0,2,OC_4,A002,A,3,L2E9418A2201,-0.4583999999999999,2.7021,-1.5,-4.0,10.0,7,6,-149.268,-420.581
G2647FB101FQ-007E,0,2,OC_4,A002,A,3,L2E9418A2201,-0.9624999999999999,2.492,-1.5,-4.0,10.0,8,1,-74.622,408.854
G2647FB101FQ-007E,0,2,OC_4,A002,A,3,L2E9418A2201,3.1826,0.0852,-1.5,-4.0,10.0,8,2,-74.622,242.947
G2647FB101FQ-007E,0,2,OC_4,A002,A,3,L2E9418A2201,6.7007,1.7292,-1.5,-4.0,10.0,8,3,-74.622,77.038
G2647FB101FQ-007E,0,2,OC_4,A002,A,3,L2E9418A2201,6.4721,3.5504,-1.5,-4.0,10.0,8,4,-74.622,-88.775
G2647FB101FQ-007E,0,2,OC_4,A002,A,3,L2E9418A2201,3.5047,3.6579,-1.5,-4.0,10.0,8,5,-74.622,-254.655
G2647FB101FQ-007E,0,2,OC_4,A002,A,3,L2E9418A2201,-0.3640000000000001,4.7445,-1.5,-4.0,10.0,8,6,-74.622,-420.579
G2647FB101FQ-007E,0,2,OC_4,A002,A,3,L2E9418A2201,-2.0742,1.1901,-1.5,-4.0,10.0,9,1,0.024,408.855
G2647FB101FQ-007E,0,2,OC_4,A002,A,3,L2E9418A2201,1.3112,-0.0367,-1.5,-4.0,10.0,9,2,0.024,242.948
G2647FB101FQ-007E,0,2,OC_4,A002,A,3,L2E9418A2201,5.5896,1.7537,-1.5,-4.0,10.0,9,3,0.024,77.039
G2647FB101FQ-007E,0,2,OC_4,A002,A,3,L2E9418A2201,5.9532,4.5451,-1.5,-4.0,10.0,9,4,0.024,-88.774
G2647FB101FQ-007E,0,2,OC_4,A002,A,3,L2E9418A2201,3.3804,3.9361,-1.5,-4.0,10.0,9,5,0.024,-254.654
G2647FB101FQ-007E,0,2,OC_4,A002,A,3,L2E9418A2201,-0.15900000000000003,5.1056,-1.5,-4.0,10.0,9,6,0.024,-420.577
G2647FB101FQ-007E,0,2,OC_4,A002,A,3,L2E9418A2201,-1.4517000000000002,2.4062,-1.5,-4.0,10.0,10,1,74.67,408.855
G2647FB101FQ-007E,0,2,OC_4,A002,A,3,L2E9418A2201,-0.6993,0.7402,-1.5,-4.0,10.0,10,2,74.67,242.949
G2647FB101FQ-007E,0,2,OC_4,A002,A,3,L2E9418A2201,5.1987000000000005,1.4264,-1.5,-4.0,10.0,10,3,74.67,77.039
G2647FB101FQ-007E,0,2,OC_4,A002,A,3,L2E9418A2201,4.1539,4.8774,-1.5,-4.0,10.0,10,4,74.67,-88.773
G2647FB101FQ-007E,0,2,OC_4,A002,A,3,L2E9418A2201,1.6299,4.4789,-1.5,-4.0,10.0,10,5,74.67,-254.654
G2647FB101FQ-007E,0,2,OC_4,A002,A,3,L2E9418A2201,-1.263,5.3547,-1.5,-4.0,10.0,10,6,74.67,-420.577
G2647FB101FQ-007E,0,2,OC_4,A002,A,3,L2E9418A2201,-3.5237,2.3096,-1.5,-4.0,10.0,11,1,149.316,408.854
G2647FB101FQ-007E,0,2,OC_4,A002,A,3,L2E9418A2201,0.1181000000000001,-0.9065,-1.5,-4.0,10.0,11,2,149.316,242.949
G2647FB101FQ-007E,0,2,OC_4,A002,A,3,L2E9418A2201,2.9821,-0.0889,-1.5,-4.0,10.0,11,3,149.316,77.039
G2647FB101FQ-007E,0,2,OC_4,A002,A,3,L2E9418A2201,3.53,2.4338,-1.5,-4.0,10.0,11,4,149.316,-88.773
G2647FB101FQ-007E,0,2,OC_4,A002,A,3,L2E9418A2201,1.5778,2.6132,-1.5,-4.0,10.0,11,5,149.316,-254.654
G2647FB101FQ-007E,0,2,OC_4,A002,A,3,L2E9418A2201,-1.0886999999999998,1.7141,-1.5,-4.0,10.0,11,6,149.316,-420.577
